"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","AnoColeta","Identificador","AnoID","ConfiançaID","ConfiançaLoc","Imagens","Município","Localidade"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","MG235212","x","MG","Silva Junior, V.S.","12","Native","2017",,,"Latão","Ouro",,,"FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","MG241460","x","MG","Fernandes, G.E.A.","115","Native","2017",,,"Latão","Ouro",,,"Flona de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","MG226739","x","MG","Harley, R.M.","57984","Native","2016",,,"Latão","Ouro",,,"FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","MG214400","x","MG","Mota, N.F.O.","2943","Native","2015",,,"Latão","Ouro",,,"FLONA de Carajás - Serra dos Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae",,,"Juss.","ACANTHACEAE Acanthaceae Juss.","MG221566","x","MG","Harley, R.M.","57260","Native","2015",,"1899","Latão","Ouro",,,"FLONA de Carajás - Serra dos Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Aphelandra",,"R.Br.","ACANTHACEAE Aphelandra R.Br.","HB000010903","splink","HB","Pereira, C.","1015","Naturalized","1980",,,"Latão","Prata",,"Parauapebas","Serra Norte."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Aphelandra",,"R.Br.","ACANTHACEAE Aphelandra R.Br.","HB000010903",,"HB","Pereira, C.","1015","Naturalized","1980",,,"Latão","Prata",,"Parauapebas","Serra Norte."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","birae","A.S.Reis, F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia birae A.S.Reis, F.A.Silva, A.Gil & Kameyama","103162902","splink","MO-DUPLICATES","Mota, N.F.O.","3008","Native","2015","Silva, F.","2019","Ouro","Ouro",,"Canaã dos Carajás","FLONA Carajás (Floresta Nacional de Carajás), Serra dos Carajás, Serra do Tarzan-Serra Sul, mata baixa, canga"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","birae","A.S.Reis, F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia birae A.S.Reis, F.A.Silva, A.Gil & Kameyama","103162902","x","Tropicos","Mota, N.F.O.","3008","Native","2015","Silva, F.","2019","Ouro","Ouro",,,"FLONA Carajás (Floresta Nacional de Carajás), Serra dos Carajás, Serra do Tarzan-Serra Sul, mata baixa, canga"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","birae","A.S.Reis, F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia birae A.S.Reis, F.A.Silva, A.Gil & Kameyama","101225191","x","Tropicos","Mota, N.F.O.","3008","Native","2015","Silva, F.","2019","Ouro","Ouro",,,"FLONA Carajás (Floresta Nacional de Carajás), Serra dos Carajás, Serra do Tarzan-Serra Sul, mata baixa, canga"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","birae","A.S.Reis, F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia birae A.S.Reis, F.A.Silva, A.Gil & Kameyama","RB00562807","x","RB","Ribeiro, R.D.","1242","Native","2009","Reis, A.S.","2019","Ouro","Ouro",,,"Flona de Carajás, estrada que dá acesso a Canga da Serra Sul. Vegetação de Terra Firme; altitude média de 700 metros."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","birae","A.S.Reis, F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia birae A.S.Reis, F.A.Silva, A.Gil & Kameyama","RB01608459","x","RB","Zappi, D.C.","4634","Native","2019","Silva, F.A.","2019","Bronze","Ouro",,,"FLONA de Carajás, Pedra da Harpia, na estrada entre a Serra Norte e Serra Sul."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","carajensis","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia carajensis F.A.Silva, A.Gil & Kameyama","IAN197801","splink","IAN","Harley, R.M.","57319","Native","2015",,,"Ouro","Ouro",,"Canaã dos Carajás","Subida para a FLONA Carajás - Serra do Tarzan, floresta."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","carajensis","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia carajensis F.A.Silva, A.Gil & Kameyama","SP004051","splink","SP","Harley, R.M.","57319","Native","2015","Kameyama, C.",,"Ouro","Ouro",,"Canaã dos Carajás","FLONA Carajás, Serra do Tarzan"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","carajensis","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia carajensis F.A.Silva, A.Gil & Kameyama","MG216095","x","MG","Harley, R.M.","57319","Native","2015","Silva, A.F.","2019","Ouro","Ouro",,,"FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","carajensis","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia carajensis F.A.Silva, A.Gil & Kameyama","BHCB019168","splink","BHCB","Almeida, T.E.","2527","Native","2010","Andrino, C.O.","2022","Bronze","Ouro",,"Canaã dos Carajás","Floresta Nacional de Carajás, S11C."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","carajensis","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia carajensis F.A.Silva, A.Gil & Kameyama","HCJS00000219",,"HCJS","Tyski, L.","1886","Native","2024",,,"Latão","Ouro",,"Canaã dos Carajás","Serra Sul - S11B. Planta coletada em borda de mata com a canga. Floresta Nacional de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","distichophylla","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia distichophylla F.A.Silva, A.Gil & Kameyama","101225194","splink","MO-DUPLICATES","Gil, A.","482","Native","2015","Silva, F.","2019","Ouro","Ouro",,"Canaã dos Carajás","FLONA Carajás (Floresta Nacional de Carajás), Serra dos Carajás, Serra Sul, Corpo B, lagoa das macrófitas, coletada numa drenagem da lagoa perene"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","distichophylla","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia distichophylla F.A.Silva, A.Gil & Kameyama","101225194","x","Tropicos","Gil, A.","482","Native","2015","Silva, F.","2019","Ouro","Ouro",,,"FLONA Carajás (Floresta Nacional de Carajás), Serra dos Carajás, Serra Sul, Corpo B, lagoa das macrófitas, coletada numa drenagem da lagoa perene"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","distichophylla","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia distichophylla F.A.Silva, A.Gil & Kameyama","103162903","x","Tropicos","Gil, A.","482","Native","2015","Silva, F.","2019","Ouro","Ouro",,,"FLONA Carajás (Floresta Nacional de Carajás), Serra dos Carajás, Serra Sul, Corpo B, lagoa das macrófitas, coletada numa drenagem da lagoa perene"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","distichophylla","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia distichophylla F.A.Silva, A.Gil & Kameyama","RB00654891","x","RB","Gontijo, F.D.","76","Native","2010","Silva, F.A.","2019","Ouro","Ouro",,,"Ss11-A; Região S/SW. Floresta Nacional dos Carajás."
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","distichophylla","F.A.Silva, A.Gil & Kameyama","ACANTHACEAE Justicia distichophylla F.A.Silva, A.Gil & Kameyama","BHCB019128","splink","BHCB","Meyer, P.B.","1141","Native","2012","Andrino, C.O.","2022","Bronze","Ouro",,"Canaã dos Carajás","Floresta Nacional de Carajás, S11A."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","divergens","(Nees) A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Justicia divergens (Nees) A.S.Reis, A.Gil & Kameyama","BHCB019169","splink","BHCB","Silva, L.V.C.","1255","Native","2012","Kameyama, C.","2017","Ouro","Ouro",,"Parauapebas","Floresta Nacional de Carajás, N1."
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","divergens","(Nees) A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Justicia divergens (Nees) A.S.Reis, A.Gil & Kameyama","HCJS00000136",,"HCJS","Silva, L.V.C.","1255","Native","2012","Silva, F.A.","2018","Bronze","Ouro",,"Parauapebas","N1. Coordenada, lat: 574527 long: 9337646. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","dubiosa","Lindau","ACANTHACEAE Justicia dubiosa Lindau","HCJS00000102",,"HCJS","Tyski, L.","634","Native","2010","Reis, A.S.","2016","Bronze","Ouro",,"Parauapebas","Entrada do Parque Zoobotânico Vale. Coordenada, lat: 06º03´52,2"" long: 050º03´32,5"". FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia",,"L.","ACANTHACEAE Justicia L.","HCJS00000150",,"HCJS","Santos, F.","413","Native","2016",,,"Latão","Ouro",,"Canaã dos Carajás","S11B. Coordenada, lat: 6°21´ 21""S long: 50° 23´ 27""W. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia",,"L.","ACANTHACEAE Justicia L.","134639","x","Herbario INPA","Hopkins, M.","1358",,,"Cortes, A.L.A.","2009","Ouro","Prata",,"Parauapebas","Carajás, Serra Norte, área sob influencia da mina de ferro N-2. Mata disturbada ao longo da estrada."
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","mcdadeana","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Justicia mcdadeana A.S.Reis, A.Gil & Kameyama","RB01443874","x","RB","Silva, F.A.","291","Native","2017","Reis, A.S.","2019","Ouro","Ouro",,,"Floresta Nacional de Carajás; trilha peito de aço"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","mcdadeana","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Justicia mcdadeana A.S.Reis, A.Gil & Kameyama","103162918","splink","MO-DUPLICATES","Silva, F.A.","291","Native","2017","Silva, F.","2019","Ouro","Ouro",,"Parauapebas","Floresta Nacional de Carajás, Trilha peito de aço. As margens da cachoeira no interior da mata"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","mcdadeana","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Justicia mcdadeana A.S.Reis, A.Gil & Kameyama","103162918","x","Tropicos","Silva, F.A.","291","Native","2017","Silva, F.","2019","Ouro","Ouro",,,"Floresta Nacional de Carajás, Trilha peito de aço. As margens da cachoeira no interior da mata"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","mcdadeana","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Justicia mcdadeana A.S.Reis, A.Gil & Kameyama","101225207","x","Tropicos","Silva, F.A.","291","Native","2017","Silva, F.","2019","Ouro","Ouro",,,"Floresta Nacional de Carajás, Trilha peito de aço. As margens da cachoeira no interior da mata"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","mcdadeana","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Justicia mcdadeana A.S.Reis, A.Gil & Kameyama","MG229210","x","MG","Silva, F.A.","291","Native","2017","Silva, F.A.","2019","Ouro","Ouro",,,"FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","potamogeton","Lindau","ACANTHACEAE Justicia potamogeton Lindau","MG216001","x","MG","Gil, A.S.B.","501","Native","2015","Reis, A.S.","2017","Bronze","Ouro",,,"FLONA de Carajás, Serra dos Carajás, trilha da lagoa da mata, acesso próximo a portaria do N5"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","potamogeton","Lindau","ACANTHACEAE Justicia potamogeton Lindau","HCJS00000146",,"HCJS","Silva, L.V.C.","1345","Native","2012","Andrino, C.O.","2021","Bronze","Ouro",,"Parauapebas","N8. Coordenada, lat: 593827 long: 9317277. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","potamogeton","Lindau","ACANTHACEAE Justicia potamogeton Lindau","HCJS00000129",,"HCJS","Arruda, A.J.","1219","Native","2012","Silva, F.A.","2018","Bronze","Ouro",,"Canaã dos Carajás","S11D. Coordenada, lat: 575293 long: 9293416. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","potamogeton","Lindau","ACANTHACEAE Justicia potamogeton Lindau","BHCB019172","splink","BHCB","Silva, L.V.C.","1345","Native","2012","Reis, A.S.","2017","Bronze","Ouro",,"Parauapebas","Floresta Nacional de Carajás, N8."
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","potamogeton","Lindau","ACANTHACEAE Justicia potamogeton Lindau","BHCB019173","splink","BHCB","Arruda, A.J.","1219","Native","2012","Reis, A.S.","2017","Bronze","Ouro",,"Canaã dos Carajás","Floresta Nacional de Carajás, S11D."
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","riedeliana","(Nees) V.A.W.Graham","ACANTHACEAE Justicia riedeliana (Nees) V.A.W.Graham","BHCB019193","splink","BHCB","Arruda, A.J.","1216","Native","2012","Kameyama, C.","2017","Ouro","Ouro",,"Canaã dos Carajás","Floresta Nacional de Carajás, S11D."
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","riedeliana","(Nees) V.A.W.Graham","ACANTHACEAE Justicia riedeliana (Nees) V.A.W.Graham","HCJS00000131",,"HCJS","Arruda, A.J.","1177","Native","2012","Reis, A.S.","2017","Ouro","Ouro",,"Canaã dos Carajás","S11D. Coordenada, lat: 9293461 long: 575337. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","riedeliana","(Nees) V.A.W.Graham","ACANTHACEAE Justicia riedeliana (Nees) V.A.W.Graham","HCJS00000200",,"HCJS","Cruz, R.P.","99","Native","2022",,,"Latão","Ouro",,"Parauapebas","Serra dos Carajás, PDE Sul 3. ASV 10539.2021.19427/IBAMA. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","sprucei","V.A.W.Graham","ACANTHACEAE Justicia sprucei V.A.W.Graham","MG222950","x","MG","Reis, A.S.","103","Native","2016","Silva, A.F.","2018","Prata","Ouro",,,"FLONA de Carajás - Serra dos Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Justicia","sprucei","V.A.W.Graham","ACANTHACEAE Justicia sprucei V.A.W.Graham","MG222948","x","MG","Reis, A.S.","101","Native","2016","Silva, A.F.","2018","Prata","Ouro",,,"FLONA de Carajás - Serra dos Carajás"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","sprucei","V.A.W.Graham","ACANTHACEAE Justicia sprucei V.A.W.Graham","MG215772","x","MG","Cardoso, A.","1956","Native","2015","Reis, A.S.","2017","Bronze","Ouro",,,"FLONA de Carajás, Serra dos Carajás, N8"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","sprucei","V.A.W.Graham","ACANTHACEAE Justicia sprucei V.A.W.Graham","HCJS00000133",,"HCJS","Arruda, A.J.","1012","Native","2012","Silva, F.A.","2018","Bronze","Ouro",,"Parauapebas","N3. Coordenada, lat: 9333533 long: 588312. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Justicia","sprucei","V.A.W.Graham","ACANTHACEAE Justicia sprucei V.A.W.Graham","BHCB019155","splink","BHCB","Silva, L.V.C.","1297","Native","2012","Reis, A.S.","2017","Bronze","Ouro",,"Parauapebas","Floresta Nacional de Carajás, N3."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Lepidagathis","alopecuroidea","(Vahl) R.Br. ex Griseb.","ACANTHACEAE Lepidagathis alopecuroidea (Vahl) R.Br. ex Griseb.","HCJS00000142",,"HCJS","Arruda, A.J.","1212","Native","2012","Andrino, C.O.","2021","Bronze","Ouro",,"Canaã dos Carajás","S11D. Coordenada, lat: 575293 long: 9293416. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Lepidagathis","alopecuroidea","(Vahl) R.Br. ex Griseb.","ACANTHACEAE Lepidagathis alopecuroidea (Vahl) R.Br. ex Griseb.","BHCB019129","splink","BHCB","Arruda, A.J.","478","Native","2012",,"0-0-0","Latão","Ouro",,"Canaã dos Carajás","Floresta Nacional de Carajás, S11D."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Megaskepasma","erythrochlamys","Lindau","ACANTHACEAE Megaskepasma erythrochlamys Lindau","HCJS00000110",,"HCJS","Tyski, L.","344",,"2012",,,"Latão","Ouro",,"Parauapebas","Parque zoobotânico Vale. Coordenada, lat: 6° 3´45.22""S long: 50° 3´36.93""O. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Mendoncia","aspera","Ruiz & Pav.","ACANTHACEAE Mendoncia aspera Ruiz & Pav.","515251","splink","SP","Gil, A.","485","Native","2015","Silva, F.A.","2021","Bronze","Ouro",,"Parauapebas","FLONA Carajás, Serra dos Carajás, estrada de acesso para a Serra Azul"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Mendoncia","aspera","Ruiz & Pav.","ACANTHACEAE Mendoncia aspera Ruiz & Pav.","MG214994","x","MG","Mota, N.F.O.","3368","Native","2015","Reis, A.S.","2017","Bronze","Ouro",,,"Floresta Nacional de Carajás - Serra dos Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Mendoncia","aspera","Ruiz & Pav.","ACANTHACEAE Mendoncia aspera Ruiz & Pav.","HCJS00000108",,"HCJS","Tyski, L.","302","Native","2012","Barbosa-Silva, R.G.","2021","Bronze","Ouro",,"Parauapebas","Parque Zoobotânico Vale, área de quarentena. coordenadas adquiridas posteriormente. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Mendoncia","aspera","Ruiz & Pav.","ACANTHACEAE Mendoncia aspera Ruiz & Pav.","HCJS00000130",,"HCJS","Arruda, A.J.","993","Native","2012","Silva, F.A.","2018","Bronze","Ouro",,"Parauapebas","N4WS. Coordenada, lat: 9328705 long: 588987. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Mendoncia","aspera","Ruiz & Pav.","ACANTHACEAE Mendoncia aspera Ruiz & Pav.","BHCB019133","splink","BHCB","Rodrigues, I.M.C.","559","Native","2012","Reis, A.S.","2017","Bronze","Ouro",,"Canaã dos Carajás","Floresta Nacional de Carajás, Área da Pilha de Estéril. S11D."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Mendoncia","hoffmannseggiana","Nees","ACANTHACEAE Mendoncia hoffmannseggiana Nees","HCJS00000222",,"HCJS","Cruz, R.P.","375",,"2025",,,"Latão","Ouro",,"Parauapebas","Barragem do Gelado. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Mendoncia","hoffmannseggiana","Nees","ACANTHACEAE Mendoncia hoffmannseggiana Nees","134691","x","Herbario INPA","Hopkins, M.","1423","Native",,"Ramos, J.F.","1987","Prata","Prata",,"Parauapebas","Carajás, Serra Norte. Mina de Maganês H-7. Mata rala, com com abundância de cipó. Margem de estrada."
"FLORESTA NACIONAL CARAJÁS",,"Acanthaceae","Mendoncia","meyeniana","Nees","ACANTHACEAE Mendoncia meyeniana Nees","MG214468","x","MG","Mota, N.F.O.","3011",,"2015","Silva, F.A.","2022","Bronze","Ouro",,,"FLONA de Carajás - Serra dos Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Mendoncia","sprucei","Lindau","ACANTHACEAE Mendoncia sprucei Lindau","INPA0134691","splink","INPA","Silva, M.F.F.","1423","Native","1983","Silva, F.A.","2020","Bronze","Ouro",,"Marabá","FLONA de Carajás, Serra Norte"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","anamariae","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Ruellia anamariae A.S.Reis, A.Gil & Kameyama","SP004012","splink","SP","Mota, N.F.O.","3363","Native","2015","Silva, F.A.","2018","Ouro","Ouro",,"Parauapebas","Serra dos Carajás, Floresta Nacional de Carajás, Serra Norte - N2"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","anamariae","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Ruellia anamariae A.S.Reis, A.Gil & Kameyama","SP004011","splink","SP","Mota, N.F.O.","3429","Native","2015","Silva, F.A.","2018","Ouro","Ouro",,"Parauapebas","Serra dos Carajás, Floresta Nacional de Carajás, Serra Norte - N4"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","anamariae","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Ruellia anamariae A.S.Reis, A.Gil & Kameyama","HCJS00000132",,"HCJS","Arruda, A.J.","978","Native","2012","Tyski, L.","2021","Ouro","Ouro",,"Parauapebas","N4WS. Coordenada, lat: 9324172 long: 590243. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","anamariae","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Ruellia anamariae A.S.Reis, A.Gil & Kameyama","HCJS00000135",,"HCJS","Silva, L.V.C.","1265","Native","2012","Silva, F.A.","2018","Ouro","Ouro",,"Parauapebas","N1. Coordenada, lat: 581041 long: 9331810. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","anamariae","A.S.Reis, A.Gil & Kameyama","ACANTHACEAE Ruellia anamariae A.S.Reis, A.Gil & Kameyama","MG238625","x","MG","Pastore, M.","856","Native","2019","Pastore, M.","2019","Bronze","Ouro",,,"Serra dos Carajás, FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","costata","(Nees) Hiern","ACANTHACEAE Ruellia costata (Nees) Hiern","BHCB019147","splink","BHCB","Almeida, T.E.","2516","Native","2010","Silva, L.V.C.","0-0-0","Bronze","Ouro",,"Canaã dos Carajás","Floresta Nacional de Carajás, S11D. Próximo a cachoeira no interior de floresta."
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Ruellia","costata","(Nees) Hiern","ACANTHACEAE Ruellia costata (Nees) Hiern","BHCB019148","splink","BHCB","Gontijo, F.D.","152","Native","2010",,"0-0-0","Latão","Ouro",,"Canaã dos Carajás","Floresta Nacional de Carajás, S11D. Na beira do Córrego. Racha Placa, subida ao Norrte da Fazenda."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","exserta","Wassh. & J.R.I. Wood","ACANTHACEAE Ruellia exserta Wassh. & J.R.I. Wood","HCJS00000206",,"HCJS","Oliveira, C.S.","21","Native","2023","Chagas, A.S.","2023","Bronze","Ouro",,"Parauapebas","Mina de Ferro - Barragem Pêra Montante (ASV 1053.9.2019.19427). FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","exserta","Wassh. & J.R.I. Wood","ACANTHACEAE Ruellia exserta Wassh. & J.R.I. Wood","INPA0134649","splink","INPA","Silva, M.F.F.","1369","Native","1983","Silva, F.A.",,"Bronze","Ouro",,"Marabá","FLONA de Carajás, Serra Norte"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Ruellia","exserta","Wassh. & J.R.I. Wood","ACANTHACEAE Ruellia exserta Wassh. & J.R.I. Wood","HCJS00000163",,"HCJS","Tyski, L.","597","Native","2020",,,"Latão","Ouro",,"Parauapebas","Borda de mata próximo à Portaria de N5. Planta coletada em borda de floresta, no limite com o estacionamento. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Ferns and Lycophytes","Acanthaceae","Ruellia","exserta","Wassh. & J.R.I. Wood","ACANTHACEAE Ruellia exserta Wassh. & J.R.I. Wood","INPA0119643","splink","INPA","Silva, M.F.F.","1369","Native","1983",,,"Latão","Ouro",,"Marabá","FLONA de Carajás, Serra Norte"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","exserta","Wassh. & J.R.I. Wood","ACANTHACEAE Ruellia exserta Wassh. & J.R.I. Wood","MG113515","x","MG","Amoroso, M.C.","135","Native","1985","Silva, F.A.","2018","Bronze","Prata",,"Parauapebas","Carajás, Serra Norte; caminho na estrada da mata de Manganes."
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","inflata","Rich.","ACANTHACEAE Ruellia inflata Rich.","BHCB019137","splink","BHCB","Vidal, C.V.","724","Native","2008","Kameyama, C.","2017","Ouro","Ouro",,"Parauapebas","Floresta Nacional de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","inflata","Rich.","ACANTHACEAE Ruellia inflata Rich.","MG244149","x","MG","Barbosa-Silva, R.G.","1220","Native","2019","Barbosa-Silva, R.G.","2019","Bronze","Ouro",,,"FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","inflata","Rich.","ACANTHACEAE Ruellia inflata Rich.","MG226684","x","MG","Harley, R.M.","57929","Native","2016","Harley, R.M.","2016","Bronze","Ouro",,,"FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","inflata","Rich.","ACANTHACEAE Ruellia inflata Rich.","HCJS00000127",,"HCJS","Tyski, L.","463","Native","2015","Reis, A.S.","2016","Bronze","Ouro",,"Parauapebas","Mina do arenito. Estrada Acesso para o Arenito, km Coordenada, lat: 6º06´52,8""S long: 50º13´19,1""W. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia","inflata","Rich.","ACANTHACEAE Ruellia inflata Rich.","HCJS00000144",,"HCJS","Arruda, A.J.","1223","Native","2012","Andrino, C.O.","2021","Bronze","Ouro",,"Canaã dos Carajás","Estrada do Núcleo para a Serra Sul. Coordenada, lat: 573127 long: 9305211. FLONA de Carajás"
"FLORESTA NACIONAL CARAJÁS","Angiosperms","Acanthaceae","Ruellia",,"L.","ACANTHACEAE Ruellia L.","MG216098","x","MG","Harley, R.M.","57322","Naturalized","2015",,,"Latão","Ouro",,,"FLONA de Carajás"
